,day,t,rh,ws,wd,r,h,l1,l2,l3,l4,l5,l6,l7,lp,t2,tmv,tm,tm2,tmy,tmy2
7930,2017-05-02 10:00:00,16.07583,57.0,2.0,9.0,0.0,0.0,6.620366769503116,10.981878561216153,11.345663046471062,14.939929791800846,11.525706594584545,10.705594620199841,12.769086441546715,6.637925949202996,258.4323101889,13.903047479289906,21.53833,463.89965918889993,17.5075,306.51255625
7931,2017-05-02 11:00:00,17.53667,50.0,2.0,6.0,0.0,0.0,9.565612105212875,13.020267795264557,15.025768990109006,18.834652830178406,11.891936534610176,14.513424732358205,17.722443651038635,6.637925949202996,307.53479468890004,13.915887715976298,21.53833,463.89965918889993,17.5075,306.51255625
7932,2017-05-02 12:00:00,18.8875,36.5,2.0,5.0,0.0,0.0,6.397186073735048,13.145756075951654,12.51370532552239,20.838238476142223,10.171059448834342,5.3020207425220605,13.982356147421337,6.637925949202996,356.73765625,13.937248662721858,21.53833,463.89965918889993,17.5075,306.51255625
7933,2017-05-02 13:00:00,20.02333,34.0,2.0,8.0,0.0,0.0,12.99986725432558,11.595254745665219,13.151472172320293,21.923917258503806,9.510152512599705,17.745386201374654,11.772362714786286,6.637925949202996,400.9337442889001,13.955685526627185,21.53833,463.89965918889993,17.5075,306.51255625
7934,2017-05-02 14:00:00,20.9225,32.5,2.0,5.0,0.0,0.0,11.692077713759412,12.84910662852862,11.23056269088865,21.315520309292047,11.66928436314879,16.31837950931389,10.521903199404367,6.637925949202996,437.75100625,13.970291029585765,21.53833,463.89965918889993,17.5075,306.51255625
7935,2017-05-02 15:00:00,21.53833,32.5,2.5,8.0,0.0,0.0,17.962119688903478,12.263671584405248,16.13447843020195,19.606541546657084,14.035461343135495,16.641952734920064,8.583133803189096,6.637925949202996,463.89965918889993,13.983575053254404,21.53833,463.89965918889993,17.5075,306.51255625
7936,2017-05-02 16:00:00,21.13,37.0,3.0,7.0,0.0,0.0,17.79222216538767,11.239832239452019,15.629120193437357,18.77076832622305,14.614435699423726,18.77124247445007,9.771340674964547,6.637925949202996,446.47689999999994,13.990956710059137,21.53833,463.89965918889993,17.5075,306.51255625
7937,2017-05-02 17:00:00,18.99333,38.5,4.0,7.0,0.0,0.0,16.774365874981754,12.023857907994358,14.345746833875998,17.637919626556844,12.891023490710294,14.51691515524301,9.816820935043248,6.637925949202996,360.7465844889,13.987953751479255,21.53833,463.89965918889993,17.5075,306.51255625
7938,2017-05-02 18:00:00,16.52083,57.5,5.0,7.0,0.0,0.0,16.278581535990668,11.976871578370346,13.709592949184163,17.337295918170568,13.7178998759874,17.31773159929327,10.164929378411188,6.637925949202996,272.9378238889,13.972475408283989,21.53833,463.89965918889993,17.5075,306.51255625
7939,2017-05-02 19:00:00,14.65417,72.0,4.0,6.0,0.0,0.0,15.554720993764262,12.840775553451822,13.953078432196984,16.627829963733447,14.070846466115588,16.47282531318563,10.441932687547075,6.637925949202996,214.74469838890002,13.95158783431949,21.53833,463.89965918889993,17.5075,306.51255625
7940,2017-05-02 20:00:00,14.68583,85.0,2.0,4.0,1.0,0.0,17.84065876514325,13.129198579583237,13.007784301177342,17.66885647321031,15.777198338225595,16.18626020310336,9.018785115750994,6.637925949202996,215.67360278889998,13.935335349112389,21.53833,463.89965918889993,17.5075,306.51255625
7941,2017-05-02 21:00:00,14.33667,91.0,3.5,2.0,1.0,0.0,11.194927932042791,10.64791006835445,12.945434845539632,18.157460907508906,7.297659434347311,20.23068339804239,8.9727217359256,6.637925949202996,205.54010668889998,13.918915230769196,21.53833,463.89965918889993,17.5075,306.51255625
7942,2017-05-02 22:00:00,13.35333,94.0,3.0,5.0,0.0,0.0,7.423573047402575,10.702264434541721,10.760154983676372,13.239306309487933,8.796508551855595,14.936916575266803,7.327999842923963,6.637925949202996,178.3114220889,13.901198248520677,21.53833,463.89965918889993,17.5075,306.51255625
7943,2017-05-02 23:00:00,12.65833,88.0,2.5,2.0,0.0,0.0,7.87139482590205,10.558382287755617,9.958764859913241,10.417619614501145,7.533831276542675,10.3442728140359,7.161328127527375,6.637925949202996,160.2333183889,13.882559195266241,21.53833,463.89965918889993,17.5075,306.51255625
7944,2017-05-03 00:00:00,12.5425,88.0,1.0,5.0,1.0,0.0,10.488238760321039,6.877621679220003,9.879151178997999,11.07924117253118,6.738436409801178,8.245312098067147,6.600012909951053,23.69660577713956,157.31430625000002,13.867529609467425,18.445,340.218025,21.53833,463.89965918889993
7945,2017-05-03 01:00:00,11.7275,88.0,1.0,5.0,1.0,0.0,10.713607565941059,6.423368248663617,9.920126420037668,10.48380492431675,5.746799367384076,7.3850954743158415,6.2514934204960495,23.69660577713956,137.53425624999997,13.850345171597601,18.445,340.218025,21.53833,463.89965918889993
7946,2017-05-03 02:00:00,11.575,88.0,1.0,5.0,0.0,0.0,13.9984221538908,6.939934633298384,10.74728687636117,12.296299838423629,7.55120246521864,5.982477906611702,6.849239603426627,23.69660577713956,133.98062499999997,13.833994106508841,18.445,340.218025,21.53833,463.89965918889993
7947,2017-05-03 03:00:00,11.70167,88.0,1.0,5.0,0.0,0.0,14.598365625072129,5.462490556058359,11.803403090187148,12.98993199135188,7.987178145822369,7.232388505265772,4.476632171752001,23.69660577713956,136.9290807889,13.820803810650855,18.445,340.218025,21.53833,463.89965918889993
7948,2017-05-03 04:00:00,11.8525,88.0,1.0,5.0,0.0,0.0,14.885856939999709,6.584998874730928,13.359388929958554,12.464191457174634,8.81819467703405,8.75210689707105,8.07696541526337,23.69660577713956,140.48175625,13.808999076923044,18.445,340.218025,21.53833,463.89965918889993
7949,2017-05-03 05:00:00,11.95917,91.0,1.0,7.0,0.0,0.0,18.850123730046555,7.716030500570371,17.440785779707515,21.385562163553125,14.132552210096227,15.10103913311619,10.824008763763308,23.69660577713956,143.0217470889,13.798072094674525,18.445,340.218025,21.53833,463.89965918889993
7950,2017-05-03 06:00:00,11.82917,88.0,1.5,7.0,0.0,0.0,23.69660577713956,6.637925949202996,23.420117478717344,21.908797346952966,19.316739303796783,14.799081511643013,21.18911643666469,23.69660577713956,139.92926288889998,13.786144106508846,18.445,340.218025,21.53833,463.89965918889993
