 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
10 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
11 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
12 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 1.000000000000000000e+00 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201
13 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
14 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
15 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
16 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 1.000000000000000000e+00 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201
17 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
18 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
19 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
