speed,ec,temp,do,voltage,m0_current,m1_current,heading,acceleration,latitude,longitude,experiment
-1.0588264082,-1.6654694864,-0.344503805,-0.381434449,1.6456813145,-0.4455161515,-0.4022120764,-0.0399411083,0.1112875447,42.0293464869,2.2536294446,ESP2
-1.0194549237,-1.6654694864,-0.344503805,-0.3585645328,1.6290547675,-0.4455161515,-0.4022120764,-0.3412609538,0.8868664068,42.0293443458,2.2536288338,ESP2
-0.705614881,-1.6654694864,-0.344503805,-0.3356946165,1.6456813145,-0.4455161515,-0.4022120764,0.5006286814,-0.0387401168,42.0293423253,2.2536297464,ESP2
-0.7193364833,-1.6654694864,-0.344503805,-0.3494165662,1.6290547675,-0.4455161515,-0.4022120764,0.5201857832,-0.7880045119,42.0293419442,2.2536285552,ESP2
-0.9982142526,-1.6654694864,-0.344503805,-0.363138516,1.6456813145,-0.4455161515,-0.4022120764,0.5199723575,0.58276924,42.0293412799,2.2536262639,ESP2
-0.7919907464,-1.6654694864,-0.344503805,-0.3768604658,1.6456813145,-0.4455161515,-0.4022120764,-1.2508200562,0.1766003432,42.0293405198,2.2536236449,ESP2
-0.7295058036,-1.6654694864,-0.344503805,-0.3905824155,1.6623078615,-0.4455161515,-0.4022120764,-1.2340775937,-0.9183630802,42.0293407764,2.2536245616,ESP2
-1.0545159909,-1.6654694864,-0.344503805,-0.3717147346,1.6456813145,-0.4455161515,-0.4022120764,-1.2735426655,0.1757385687,42.0293410973,2.2536258197,ESP2
-0.9923360204,-1.6654694864,-0.344503805,-0.3528470537,1.6456813145,-0.4455161515,-0.4022120764,-1.1441507967,-0.0040688644,42.0293414801,2.2536270371,ESP2
-0.99378786,-1.6654694864,-0.344503805,-0.3339793728,1.6623078615,-0.4455161515,-0.4022120764,-1.1459162067,0.5456097654,42.0293417862,2.253629412,ESP2
-0.8007146701,-1.6654694864,-0.344503805,-0.3151116918,1.6456813145,-0.4455161515,-0.4022120764,-1.1406754894,0.030930105,42.0293421058,2.2536318463,ESP2
-0.7897807716,-1.6654694864,-0.344503805,-0.3356946165,1.6623078615,-0.4455161515,-0.4022120764,0.9485407287,-0.6603951256,42.0293422472,2.253632985,ESP2
-1.0234990272,-1.6654694864,-0.344503805,-0.3562775411,1.6456813145,-0.4455161515,-0.4022120764,0.8483658659,0.093766819,42.0293426213,2.2536317416,ESP2
-0.9903279286,-1.6654694864,-0.344503805,-0.3768604658,1.6456813145,-0.4455161515,-0.4022120764,0.865118564,0.1326801868,42.0293428675,2.2536301701,ESP2
-0.9433858308,-1.6654694864,-0.344503805,-0.3545622974,1.6623078615,-0.4455161515,-0.4022120764,0.8790381457,-0.2227593211,42.0293430705,2.2536290411,ESP2
-1.0222297414,-1.6654694864,-0.344503805,-0.332264129,1.6456813145,-0.4455161515,-0.4022120764,0.9548496416,-0.3839050877,42.0293431467,2.2536286589,ESP2
-1.1581013101,-1.6654694864,-0.344503805,-0.3099659607,1.6456813145,-0.4455161515,-0.4022120764,1.121406946,-0.07481327,42.0293432173,2.2536284316,ESP2
-1.184588792,-1.6654694864,-0.344503805,-0.2876677923,1.6623078615,-0.4455161515,-0.4022120764,1.013220921,-0.0581907319,42.0293432789,2.2536283312,ESP2
-1.2051937463,-1.6654694864,-0.344503805,-0.3151116918,1.6290547675,-0.4455161515,-0.4022120764,1.3372569193,-0.0386005336,42.0293432978,2.2536282845,ESP2
-1.2188659518,-1.6654694864,-0.344503805,-0.3425555914,1.6456813145,-0.4455161515,-0.4022120764,0.8608818834,-0.0203515478,42.0293433059,2.2536282785,ESP2
-1.2260800483,-1.6654694864,-0.344503805,-0.3699994909,1.6623078615,-0.4455161515,-0.4022120764,1.1176994245,0.0016661843,42.0293433086,2.2536282632,ESP2
-1.2255023192,-1.6654694864,-0.344503805,-0.363138516,1.6456813145,-0.4455161515,-0.4022120764,1.0958318929,0.0001186315,42.0293433161,2.2536282509,ESP2
-1.2254722515,-1.6654694864,-0.344503805,-0.3562775411,1.6456813145,-0.4455161515,-0.4022120764,0.9923687354,0.0029952591,42.0293433258,2.2536282334,ESP2
-1.2244241779,-1.6654694864,-0.3321911775,-0.3494165662,1.6456813145,-0.4455161515,-0.4022120764,1.2797883955,0.0041847507,42.0293433358,2.2536282065,ESP2
-1.2229551568,-1.6654694864,-0.31987855,-0.3425555914,1.6623078615,-0.4455161515,-0.4022120764,1.2771098529,0.0049008732,42.0293433602,2.253628184,ESP2
-1.2212327081,-1.6654694864,-0.3075659224,-0.3105377086,1.6456813145,-0.4455161515,-0.4022120764,1.2606712952,0.0036931751,42.029343389,2.2536281572,ESP2
-1.21993765,-1.6654694864,-0.3075659224,-0.2785198258,1.6456813145,-0.4455161515,-0.4022120764,1.331249616,-0.0052522872,42.0293434108,2.2536281355,ESP2
